gfn-lb0-500.dls.policy.mh.gn.free.s50	6	python run_experiment.py --sampler dls --method policy --mh --grad_norm --steps 50 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_50 --run_name gfn-lb0-500.dls.policy.mh.gn.free.s50 --out_dir results_gfn
gfn-lb0-500.dls.policy.mh.gn.free.s100	6	python run_experiment.py --sampler dls --method policy --mh --grad_norm --steps 100 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_100 --run_name gfn-lb0-500.dls.policy.mh.gn.free.s100 --out_dir results_gfn
gfn-lb0-500.dls.grad_norm_preserved_random_dir.mh.gn.free.s50	6	python run_experiment.py --sampler dls --method grad_norm_preserved_random_dir --mh --grad_norm --steps 50 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_50 --run_name gfn-lb0-500.dls.grad_norm_preserved_random_dir.mh.gn.free.s50 --out_dir results_gfn
gfn-lb0-500.dls.grad_norm_preserved_random_dir.mh.gn.free.s100	6	python run_experiment.py --sampler dls --method grad_norm_preserved_random_dir --mh --grad_norm --steps 100 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_100 --run_name gfn-lb0-500.dls.grad_norm_preserved_random_dir.mh.gn.free.s100 --out_dir results_gfn
gfn-lb0-500.dls.random.mh.gn.free.s50	6	python run_experiment.py --sampler dls --method random --mh --grad_norm --steps 50 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_50 --run_name gfn-lb0-500.dls.random.mh.gn.free.s50 --out_dir results_gfn
gfn-lb0-500.dls.random.mh.gn.free.s100	6	python run_experiment.py --sampler dls --method random --mh --grad_norm --steps 100 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_100 --run_name gfn-lb0-500.dls.random.mh.gn.free.s100 --out_dir results_gfn
gfn-lb0-500.dls.policy.nomh.gn.free.s50	6	python run_experiment.py --sampler dls --method policy --grad_norm --steps 50 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_50 --run_name gfn-lb0-500.dls.policy.nomh.gn.free.s50 --out_dir results_gfn
gfn-lb0-500.dls.policy.nomh.gn.free.s100	6	python run_experiment.py --sampler dls --method policy --grad_norm --steps 100 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_100 --run_name gfn-lb0-500.dls.policy.nomh.gn.free.s100 --out_dir results_gfn
gfn-lb0-500.dls.policy.nomh.gn.oracle.s50	6	python run_experiment.py --sampler dls --method policy --grad_norm --oracle --steps 50 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_oracle --run_name gfn-lb0-500.dls.policy.nomh.gn.oracle.s50 --out_dir results_gfn
gfn-lb0-500.dls.grad_norm_preserved_random_dir.nomh.gn.free.s50	6	python run_experiment.py --sampler dls --method grad_norm_preserved_random_dir --grad_norm --steps 50 --model_path /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/gpt2_large_sft_output --model_tag gfn-lb0-500 --dtype float32 --peft_checkpoint /mount/studenten-temp1/users/singhsk/thesis/thesis/gfn-lm-tuning/infill_subj_arithmetic/outputs/2026-06-27/19-13-26/avid-leaf-24_490.pt --eps_start 10.5 --eps_end 0.1 --n_samples 200 --wandb_project ctg-langevin-thesis --wandb_group gfn-lb0-500.dls_traj_50 --run_name gfn-lb0-500.dls.grad_norm_preserved_random_dir.nomh.gn.free.s50 --out_dir results_gfn
